timestamp,action,price,quantity
2025-03-19 09:32:00-04:00,SELL,562.835,17.0
2025-03-19 09:33:00-04:00,BUY,563.099,17.0
2025-03-19 09:34:00-04:00,SELL,562.61,17.0
2025-03-19 09:46:00-04:00,BUY,562.98,17.0
2025-03-19 09:47:00-04:00,SELL,563.265,17.0
2025-03-19 09:54:00-04:00,BUY,564.22,17.0
2025-03-19 09:55:00-04:00,SELL,564.2501,17.0
2025-03-19 10:07:00-04:00,BUY,565.06,17.0
2025-03-19 10:08:00-04:00,SELL,564.93,17.0
2025-03-19 10:59:00-04:00,BUY,563.52,17.0
2025-03-19 11:00:00-04:00,SELL,563.6135,17.0
2025-03-19 11:01:00-04:00,BUY,563.8316,17.0
2025-03-19 11:02:00-04:00,SELL,563.92,17.0
2025-03-19 11:05:00-04:00,BUY,563.895,17.0
2025-03-19 11:06:00-04:00,SELL,564.125,17.0
2025-03-19 11:11:00-04:00,BUY,564.655,17.0
2025-03-19 11:12:00-04:00,SELL,564.48,17.0
2025-03-19 11:25:00-04:00,BUY,564.5,17.0
2025-03-19 11:26:00-04:00,SELL,564.6,17.0
2025-03-19 12:11:00-04:00,BUY,565.71,17.0
2025-03-19 12:12:00-04:00,SELL,565.52,17.0
2025-03-19 12:30:00-04:00,BUY,565.35,17.0
2025-03-19 12:31:00-04:00,SELL,565.23,17.0
2025-03-19 13:39:00-04:00,BUY,564.1318,17.0
2025-03-19 13:40:00-04:00,SELL,564.1027,17.0
2025-03-19 14:00:00-04:00,BUY,564.84,17.0
2025-03-19 14:01:00-04:00,SELL,564.2075,17.0
2025-03-19 14:16:00-04:00,BUY,565.61,17.0
2025-03-19 14:17:00-04:00,SELL,565.34,17.0
2025-03-19 14:31:00-04:00,BUY,565.921,17.0
2025-03-19 14:32:00-04:00,SELL,566.49,17.0
2025-03-19 14:53:00-04:00,BUY,568.04,17.0
2025-03-19 14:54:00-04:00,SELL,567.66,17.0
2025-03-19 14:56:00-04:00,BUY,568.2,17.0
2025-03-19 14:57:00-04:00,SELL,568.25,17.0
2025-03-19 15:00:00-04:00,BUY,568.68,17.0
2025-03-19 15:01:00-04:00,SELL,568.435,17.0
2025-03-19 15:07:00-04:00,BUY,569.93,17.0
2025-03-19 15:08:00-04:00,SELL,570.23,17.0
2025-03-19 15:38:00-04:00,BUY,568.56,17.0
2025-03-19 15:39:00-04:00,SELL,568.4,17.0
2025-03-19 15:44:00-04:00,BUY,569.22,17.0
2025-03-19 15:45:00-04:00,SELL,569.08,17.0
2025-03-19 15:58:00-04:00,BUY,566.74,17.0
2025-03-19 15:59:00-04:00,SELL,567.01,17.0
2025-03-19 04:00:00-04:00,BUY,228.4,43.0
2025-03-19 04:01:00-04:00,SELL,228.28,43.0
2025-03-19 04:32:00-04:00,BUY,230.9,43.0
2025-03-19 04:33:00-04:00,SELL,230.9,43.0
2025-03-19 05:02:00-04:00,BUY,230.66,43.0
2025-03-19 05:03:00-04:00,SELL,230.4,43.0
2025-03-19 05:09:00-04:00,BUY,231.89,43.0
2025-03-19 05:10:00-04:00,SELL,231.86,43.0
2025-03-19 05:19:00-04:00,BUY,231.5,43.0
2025-03-19 05:20:00-04:00,SELL,231.57,43.0
2025-03-19 06:00:00-04:00,BUY,232.24,43.0
2025-03-19 06:01:00-04:00,SELL,232.2,43.0
2025-03-19 06:02:00-04:00,BUY,234.0,42.0
2025-03-19 06:03:00-04:00,SELL,234.14,42.0
2025-03-19 07:01:00-04:00,BUY,231.71,43.0
2025-03-19 07:02:00-04:00,SELL,231.7,43.0
2025-03-19 07:18:00-04:00,BUY,232.13,43.0
2025-03-19 07:19:00-04:00,SELL,232.52,43.0
2025-03-19 07:47:00-04:00,BUY,232.56,43.0
2025-03-19 07:48:00-04:00,SELL,232.5,43.0
2025-03-19 07:54:00-04:00,BUY,232.85,43.0
2025-03-19 07:55:00-04:00,SELL,232.78,43.0
2025-03-19 07:56:00-04:00,BUY,232.22,43.0
2025-03-19 07:57:00-04:00,SELL,232.67,43.0
2025-03-19 08:03:00-04:00,BUY,232.1468,43.0
2025-03-19 08:04:00-04:00,SELL,232.2078,43.0
2025-03-19 08:40:00-04:00,BUY,231.6395,43.0
2025-03-19 08:41:00-04:00,SELL,231.53,43.0
2025-03-19 08:42:00-04:00,BUY,231.79,43.0
2025-03-19 08:43:00-04:00,SELL,231.55,43.0
2025-03-19 08:47:00-04:00,BUY,232.22,43.0
2025-03-19 08:48:00-04:00,SELL,232.2348,43.0
2025-03-19 09:02:00-04:00,BUY,232.2,43.0
2025-03-19 09:03:00-04:00,SELL,232.0,43.0
2025-03-19 09:27:00-04:00,BUY,231.81,43.0
2025-03-19 09:28:00-04:00,SELL,231.6,43.0
2025-03-19 09:30:00-04:00,BUY,231.225,43.0
2025-03-19 09:30:00-04:00,SELL,231.225,43.0
2025-03-19 09:31:00-04:00,BUY,232.605,42.0
2025-03-19 09:32:00-04:00,SELL,233.1244,42.0
2025-03-19 09:33:00-04:00,BUY,233.93,42.0
2025-03-19 09:34:00-04:00,SELL,232.8899,42.0
2025-03-19 09:46:00-04:00,BUY,232.7271,42.0
2025-03-19 09:47:00-04:00,SELL,232.03,42.0
2025-03-19 09:54:00-04:00,BUY,231.07,43.0
2025-03-19 09:55:00-04:00,SELL,230.14,43.0
2025-03-19 10:07:00-04:00,BUY,231.5001,42.0
2025-03-19 10:08:00-04:00,SELL,231.55,42.0
2025-03-19 10:59:00-04:00,BUY,231.14,42.0
2025-03-19 11:00:00-04:00,SELL,231.03,42.0
2025-03-19 11:01:00-04:00,BUY,231.3646,42.0
2025-03-19 11:02:00-04:00,SELL,231.09,42.0
2025-03-19 11:05:00-04:00,BUY,231.7953,42.0
2025-03-19 11:06:00-04:00,SELL,232.2012,42.0
