symbol,time,open,high,low,close,volume,ema_9,ema_21,pct_change,avg_volume,volume_surge,ema_crossover,momentum_up,rsi,macd,macd_signal,macd_hist,vwap_numerator,vwap_denominator,vwap,signal_score,buy_signal,short_signal
TSLA,2025-03-19 14:05:00-04:00,233.43,233.45,232.2,232.45,428765,233.36458001214203,233.47609546190347,-0.432622290756457,201859.35,True,False,False,41.31809943494777,-0.1470745374530793,-0.16658312471829675,0.019508587265217453,65704962203.68033,163969299,400.7150277789523,2,False,True
AAPL,2025-03-20 09:28:00-04:00,214.09,214.11,213.41,213.737,37915,214.24363163326885,214.26709711097882,-0.3417727421084593,4564.0,True,False,False,35.21028037383165,-0.031621374831388493,-0.03322426793985043,0.001602893108461935,221756437806.63217,828128418,267.7802536256305,3,True,True
GOOGL,2025-03-20 09:27:00-04:00,162.55,162.7,162.01,162.01,8267,162.34895508210008,162.38713453537906,-0.3322054752384007,1916.75,True,False,False,41.79774196661188,-0.030394047241713906,-0.002455185110196036,-0.02793886213151787,290441092156.70355,1204517836,241.1264353886276,1,False,True
AAPL,2025-03-24 09:30:00-04:00,221.0,221.03,219.6803,219.6803,1109078,220.44784227515765,220.46864965757575,-0.6280400617545645,62138.4,True,False,False,36.94655029623708,-0.015297174254158108,-0.005081427334987853,-0.010215746919170255,578287406580.9568,2262480608,255.59883454300828,2,False,True
GOOGL,2025-03-24 09:30:00-04:00,167.05,167.08,166.27,166.415,565000,166.99009245053753,167.04253856160483,-0.3562660918507876,30838.8,True,False,False,34.316353887403565,-0.01607829071855349,0.04228704756355543,-0.05836533828210892,638845060712.1742,2589566241,246.6996405025247,2,False,True
TSLA,2025-03-25 09:30:00-04:00,283.56,283.65,279.2,279.91,3161080,282.8005371980082,282.99435278703885,-1.2732787810383561,196685.45,True,False,False,28.80652849428381,-0.09026715492609583,0.11075624553719043,-0.20102340046328626,679623480507.3018,2689774153,252.66934762879393,2,False,True
NVDA,2025-03-25 09:32:00-04:00,120.8553,120.94,120.4249,120.4249,1345432,120.62191241726917,120.62727080968662,-0.36379551994546455,526655.75,True,False,False,44.94767121611223,-0.0011882504398386118,0.005989014967543623,-0.007177265407382235,732775728669.1012,2889490248,253.60034669655033,1,False,True
AMZN,2025-03-25 06:53:00-04:00,203.13,203.13,202.61,202.61,10407,203.023591808782,203.06479140375455,-0.3050730699207693,1232.35,True,False,False,36.36363636364213,-0.35832271029300955,-0.5338271094111856,0.17550439911817606,759815726731.1345,3055088298,248.70499724297477,3,True,True
META,2025-03-27 09:02:00-04:00,606.19,606.75,599.98,602.75,40344,606.0041779432997,606.3602209090827,-0.5920770524788121,2787.6,True,False,False,14.17797888386329,0.24194348680453004,0.8095107801829595,-0.5675672933784295,1040996975315.5144,4262172662,244.24092073900934,2,False,True
TSLA,2025-03-28 09:30:00-04:00,275.575,275.6,274.0,274.18,1143986,276.1971645401683,276.3779637618255,-0.4899647951221109,93495.9,True,False,False,29.901960784315023,-0.000807314847975249,0.30484525966503284,-0.3056525745130081,1114680877579.9336,4438093130,251.162119615082,2,False,True
META,2025-03-28 09:31:00-04:00,599.38,599.65,597.43,597.46,101551,599.4038792628437,599.4311948375006,-0.3884692975874793,44167.2,True,False,False,31.69976080002472,0.15210463407197494,0.3905605962773044,-0.23845596220532944,1188001296686.545,4844385245,245.23262222233626,2,False,True
TSLA,2025-03-31 07:00:00-04:00,251.88,252.19,250.62,250.66,55135,251.41263458445317,251.41472989298288,-0.4645991343366629,7970.75,True,False,False,44.51612903226004,0.002384553946427559,0.02411925341079638,-0.02173469946436882,1281425317252.034,5089831161,251.76185156606886,1,False,True
TSLA,2025-03-31 09:33:00-04:00,246.15,246.6,243.66,243.7934,1399282,247.49346038456815,247.94761402419041,-0.9418901595415141,425156.2,True,False,False,27.193499770658008,-0.3094474261290827,0.0037958131799653225,-0.313243239309048,1284605959041.06,5102640528,251.75317602562265,2,False,True
TSLA,2025-03-31 15:26:00-04:00,258.07,258.14,256.82,257.2732,473081,258.5398260244546,258.65071297224307,-0.3090238450161209,210942.9,True,False,False,37.46058440193465,-0.05704548462568937,0.04636080277751692,-0.10340628740320629,1310007003942.28,5203455164,251.7571426396709,2,False,True
AAPL,2025-03-31 09:25:00-04:00,216.9,216.94,215.5,216.24,75872,216.8373296056194,216.9124620330587,-0.4253931824733215,10089.65,True,False,False,32.96511627907324,-0.04426809605271842,0.007604489574276776,-0.0518725856269952,1314925413434.2502,5222612149,251.77542883134174,2,False,True
TSLA,2025-04-01 09:35:00-04:00,264.0475,264.0475,260.36,260.58,1114616,263.7639464775191,263.7969716368865,-1.2655350106092866,392255.0,True,False,False,38.17968344972784,0.07088678939811643,0.24273832147759847,-0.17185153207948203,1453433805781.0437,5846047982,248.6181793676978,2,False,True
MSFT,2025-04-01 09:30:00-04:00,374.65,374.77,373.23,373.48,470792,374.3172388773462,374.3280419561499,-0.3255938083800314,24429.45,True,False,False,32.36514522822144,0.04298398057886743,0.1173019171378949,-0.07431793655902746,1496768786764.5059,6012395242,248.94717105567588,2,False,True
META,2025-04-01 09:28:00-04:00,572.47,572.47,570.85,570.89,8194,573.5645215623272,573.888624660476,-0.45683597496120054,1683.6,True,False,False,25.338094959313167,-0.15903655536544647,0.13994283226732046,-0.29897938763276694,1527100009434.7446,6245610705,244.50771614891175,2,False,True
