symbol,time,close,volume,ema_9,ema_21,pct_change,rsi,macd_hist,signal_score
QQQ,2025-03-31 11:49:00+00:00,461.94,15143,461.6134120375849,461.59293037569165,0.08883496197431562,71.72413793103365,0.07902711022521637,3
QQQ,2025-03-31 12:26:00+00:00,462.39,16895,461.940732239245,461.879835521099,0.043272247344172676,75.42372881355773,0.061684452825815465,3
QQQ,2025-03-31 19:50:00+00:00,469.57,409678,468.6858908490109,468.39122347957993,0.29260999572833235,67.92792792792815,0.03310677540583695,3
SPY,2025-03-31 11:19:00+00:00,550.07,32948,550.2038249866428,550.2802327603218,-0.04179538433579655,37.419354838710674,0.024399459645267546,3
SPY,2025-03-31 11:49:00+00:00,549.71,29834,549.4276940531967,549.4236658678319,0.047320047320043024,69.32773109243392,0.07706661695766259,3
SPY,2025-03-31 12:26:00+00:00,550.01,19359,549.6267197305285,549.583358100256,0.0345567640318567,66.68689320387841,0.05705977498894661,3
SPY,2025-03-31 18:01:00+00:00,554.13,138626,553.5959288838184,553.5349822393082,0.09754511461550486,70.6484641638227,0.04611698298214318,3
TSLA,2025-03-31 11:30:00+00:00,247.7,33458,247.84425433248703,248.56398774439725,0.23470378763352784,18.348623853210228,-0.10915393222056025,3
TSLA,2025-03-31 12:00:00+00:00,248.81,802438,248.26330642441124,247.94342878633284,0.2013612017236488,71.99999999999976,0.18933615089757647,3
TSLA,2025-03-31 13:00:00+00:00,249.5,40451,248.86052455157906,248.70015772605734,0.2732899284623391,63.9846743295018,0.0024301780501970183,3
TSLA,2025-03-31 13:28:00+00:00,249.19,115777,248.13016443087818,248.10917246989743,0.47983870967742703,74.87845639623244,0.09698713469365361,4
TSLA,2025-03-31 13:30:00+00:00,250.04,2205179,248.71690523576206,248.3922086528078,0.2525961268593946,83.13609467455625,0.23827538018747738,3
TSLA,2025-03-31 13:34:00+00:00,244.615,1089469,246.80938038456816,247.54233423455213,0.3370066621984025,33.188350604317435,-0.4000956905562961,3
TSLA,2025-03-31 14:30:00+00:00,246.0593,686512,246.55894559345685,247.48775321606072,0.27274950079465565,35.96732225662505,-0.28820473181337747,3
TSLA,2025-03-31 15:36:00+00:00,253.04,472171,251.7698790156264,251.05456900006337,0.2337890542990939,69.08127208480563,0.1076873523355033,3
TSLA,2025-03-31 16:16:00+00:00,252.04,447578,251.52852708220522,251.9240517107679,0.24221356952800477,39.06166853899353,-0.06628346669035473,3
TSLA,2025-03-31 18:00:00+00:00,254.71,280392,254.10223627812346,254.05849534393698,0.24795340050378645,75.79446966570364,0.11910692319795022,3
TSLA,2025-03-31 18:10:00+00:00,257.22,373505,255.7835421413755,255.1068754150511,0.34329406257316286,91.88893448228673,0.2566539730348959,3
TSLA,2025-03-31 18:12:00+00:00,258.3059,531356,256.55144697048036,255.58968959921577,0.3402478343627502,92.85900652282965,0.35114761266187233,3
TSLA,2025-03-31 19:37:00+00:00,257.71,186223,257.66502836874605,257.90592804180153,0.22786662160412252,36.323086009138486,0.007418975962434959,3
TSLA,2025-03-31 19:41:00+00:00,259.4085,332330,258.1505538598384,258.0568917367676,0.34764639483688686,64.80536004767353,0.18249742447677575,3
TSLA,2025-03-31 19:56:00+00:00,259.7,520588,258.57772004602384,258.43391535628325,0.1542614731970593,49.89553299068134,0.08738055207960409,3
TSLA,2025-03-31 11:00:00+00:00,250.66,55135,251.41263458445232,251.41471458836543,-0.4645991343366629,44.516129032258,-0.021897843897395103,1
TSLA,2025-03-31 13:33:00+00:00,243.7934,1399282,247.3579754807102,247.83506765800735,-0.9418901595415141,28.13530819481268,-0.29059567967367567,2
TSLA,2025-03-31 19:26:00+00:00,257.2732,473081,258.5398260244547,258.65071297224307,-0.3090238450161209,37.460584401933296,-0.10340628740322563,2
