symbol,time,close,volume,ema_9,ema_21,pct_change,rsi,macd_hist,signal_score
QQQ,2025-03-21 05:21:00-04:00,476.88,6372,476.9869979962999,477.0418430663959,-0.004193751310543892,38.04347826086872,0.015330771125999482,3
QQQ,2025-03-21 09:00:00-04:00,474.54,25890,474.89471500090957,475.3024142782616,-0.037917087967642704,27.681093908916267,0.009979505257038945,3
QQQ,2025-03-21 09:04:00-04:00,474.49,40728,474.5952272643727,475.0134302836292,0.054825717478856895,31.453657620433106,0.0027887741555736034,3
QQQ,2025-03-21 09:06:00-04:00,474.1301,19886,474.4805654491986,474.88738949060263,-0.0695316781182731,26.38792424873678,0.006597666534579216,3
QQQ,2025-03-21 09:23:00-04:00,473.77,20339,474.0806191121731,474.2736341644691,-0.035869519348441514,33.803627987328724,0.02450785193330679,3
QQQ,2025-03-21 09:30:00-04:00,474.95,605238,474.22677320738666,474.1746486696621,0.0,56.79012345679024,0.1604261980938366,3
SPY,2025-03-21 09:00:00-04:00,559.29,32607,559.6550224799686,560.0753681928696,-0.03396010581254716,23.033412259929875,0.00524115587187407,3
SPY,2025-03-21 09:04:00-04:00,559.3,29972,559.3793052077951,559.7929022559043,0.03756103668459687,26.140560195439818,0.009683746488452327,3
SPY,2025-03-21 09:06:00-04:00,559.06,28736,559.297955332989,559.6830597156234,-0.03754894773544404,22.62712873644817,0.02152820763617691,3
SPY,2025-03-21 09:10:00-04:00,558.9688,53750,559.0759305043923,559.4400225364546,0.0069418352924399684,23.508414074447273,0.025481949392256675,3
SPY,2025-03-21 09:24:00-04:00,558.25,57966,558.7656643838446,558.9740874640323,-0.07875566056311234,28.84638022366363,0.014582858856966419,3
SPY,2025-03-21 09:30:00-04:00,559.88,1516891,559.0861850273909,558.9853049024058,0.0,61.83431952662696,0.18159096435238864,3
SPY,2025-03-21 10:21:00-04:00,559.53,264164,559.1784571113484,559.1308789268787,0.044700328994418115,54.31778929188198,0.09503025679075812,3
SPY,2025-03-21 11:53:00-04:00,559.32,317459,559.4446800426113,559.5998323839833,-0.06789351438269975,39.47797716150052,0.02996772306059417,3
SPY,2025-03-21 14:35:00-04:00,562.56,1579355,562.4872662905381,562.5546248676751,0.012444665682931344,38.85714285714145,0.028688236360617306,3
SPY,2025-03-21 15:37:00-04:00,562.4,155252,562.0324710860549,562.0004453257994,0.08542141230067912,61.92890373374532,0.04455485717044199,3
TSLA,2025-03-21 04:20:00-04:00,235.05,17937,238.8280505177122,280.20484153829034,-0.23344651952461604,35.474006116208045,10.924208044783484,3
TSLA,2025-03-21 04:23:00-04:00,234.67,11399,236.8616418650687,268.91916719631126,0.05116179918993602,30.325814536340204,11.635022393793122,3
TSLA,2025-03-21 04:25:00-04:00,234.42,10960,235.979450793644,262.93005553414156,0.008532423208174045,19.5250659630599,11.442970847781503,3
TSLA,2025-03-21 04:31:00-04:00,234.2,24281,234.93664962884904,250.59351427026306,-0.21303792074989225,26.99999999999946,9.45385367085182,3
TSLA,2025-03-21 04:35:00-04:00,234.18,5216,234.36045168797662,245.32064904737587,0.2525793056209702,35.69620253164538,7.674590616273097,3
TSLA,2025-03-21 04:44:00-04:00,233.3,13123,233.78563110261405,238.67727433605555,0.03430237543950998,30.22598870056541,4.354109311608765,3
TSLA,2025-03-21 05:23:00-04:00,234.9,10182,234.26171973280185,234.208501950172,0.1833923316415742,68.16143497757838,0.33220716829089914,3
TSLA,2025-03-21 06:47:00-04:00,234.93,6533,234.6131020658282,234.57922114829518,0.03832396525293991,63.8709677419356,0.06605637908660056,3
TSLA,2025-03-21 07:40:00-04:00,237.4,15297,236.85721506683427,236.51338980499486,0.2533783783783772,78.60696517413002,0.020413767585851172,3
TSLA,2025-03-21 09:17:00-04:00,235.15,125050,234.58919480121384,234.7238770140371,0.2344416027280527,65.34296028880851,0.11409311147926582,3
TSLA,2025-03-21 09:30:00-04:00,238.24,3644894,235.42748424688784,235.0247478503864,1.3787234042553331,77.89699570815449,0.2952106375000616,3
TSLA,2025-03-21 09:31:00-04:00,239.37,1378616,236.66598991800822,235.68549409122843,0.4743116185359275,82.85045361428158,0.5374970393705139,3
TSLA,2025-03-21 09:33:00-04:00,240.9233,1099458,237.9684935475253,236.47566701754417,0.6005804121343772,86.94530055877122,0.6851810804233944,3
TSLA,2025-03-21 10:36:00-04:00,239.78,564908,239.2035062555597,239.13690898537314,0.2969841469025791,66.34797510597986,0.15828193760049,3
TSLA,2025-03-21 11:51:00-04:00,241.1557,314837,240.40605768624266,240.39783419963362,0.38324973463483847,55.906112236387436,0.1319442097755902,4
TSLA,2025-03-21 12:11:00-04:00,242.8973,499124,242.07766848287034,241.57370643765054,0.30442669952646106,72.40012457883877,0.145004739561226,3
TSLA,2025-03-21 12:12:00-04:00,243.46,356718,242.3541347862963,241.7451876705914,0.2316616940575278,78.00280028002821,0.18743716667048266,3
TSLA,2025-03-21 12:18:00-04:00,244.1061,493460,243.08636701341888,242.4181840617915,0.43811483891831315,80.53689720665193,0.11334085128288196,3
TSLA,2025-03-21 12:31:00-04:00,245.77,473436,244.88396036489846,244.08732708437253,0.22020144354280013,79.79125270214246,0.0668905862918231,3
TSLA,2025-03-21 13:36:00-04:00,247.0195,410971,246.1177970653472,245.75024024439395,0.3002679876563219,71.58985969197775,0.182733302134789,3
TSLA,2025-03-21 14:41:00-04:00,247.23,220950,246.70070736610717,246.53266910299055,0.24734409212552322,69.117647058823,0.09815579737402862,3
TSLA,2025-03-21 15:37:00-04:00,245.6904,290059,245.23214291619166,245.20126685452894,0.21226088020558365,60.32957310329556,0.07395774694986659,4
TSLA,2025-03-21 15:46:00-04:00,247.08,481987,246.1189133294706,245.71646096527374,0.27393924636269773,81.36741814278007,0.18093205856780806,3
TSLA,2025-03-21 15:50:00-04:00,248.08,823258,246.86064289975118,246.2282043339073,0.47589153723093247,82.91259500542884,0.21630590768439806,3
